,Time[s],x1,x2,x3,y
166223,91.58,-0.524,0.629,45,9.081
69238,70.49,2.36,-0.157,45,-7.374
188389,126.4,-9.109,-0.287,45,-7.577
152751,142.04,8.083,0.321,45,6.43
187588,100.3,-4.777,-0.628,45,-7.356
72082,91.06,-1.835,0.627,45,8.329
126840,18.49,10.009,0.156,45,5.865
163159,39.47,5.176,0.158,34,7.865
7869,3.52,10.34,0.156,30,6.69
81856,20.75,7.615,0.156,45,6.937
17612,92.36,1.288,0.628,44,8.233
153110,88.16,10.363,0.628,43,7.893
33193,40.71,5.734,0.157,35,6.486
23306,323.97,-0.228,0.016,32,9.276
99977,44.34,-9.405,-0.157,34,-6.241
186911,28.71,-0.388,0.156,28,9.024
142849,76.32,-0.182,-0.157,35,-8.407
192312,34.11,-1.573,0.158,45,7.513
108549,81.03,-5.21,-0.157,44,-7.254
107325,119.15,-5.141,-0.901,44,-7.745
144197,111.32,1.995,1.097,44,9.262
93770,110.49,3.58,1.099,35,13.659
153831,32.2,-2.668,0.156,45,7.36
156186,61.36,-7.387,-0.155,45,-5.878
123020,73.46,2.44,-0.157,44,-7.548
155106,2.26,7.957,0.158,45,6.224
11002,155.55,-8.926,-0.392,45,-7.02
95834,86.07,8.698,1.572,34,13.721
192402,148.18,-12.711,-2.512,45,-12.174
45564,81.56,-7.239,-0.156,28,-8.457
41969,22.29,6.886,0.157,30,8.658
68111,96.91,4.982,2.959,37,15.092
103333,26.13,0.752,0.156,35,7.896
154801,60.46,-10.249,-0.157,36,-7.323
180726,22.88,4.366,0.157,45,7.055
110838,103.78,-3.545,-0.63,36,-10.061
95457,68.6,-0.205,-0.159,35,-8.653
123810,118.64,-1.915,-1.1,44,-8.433
184026,29.07,-1.642,0.158,43,7.951
53574,110.39,1.687,1.101,45,11.515
192288,34.78,-0.456,0.158,35,8.106
194782,72.04,2.576,-0.158,45,-7.557
78161,65.72,-3.249,-0.157,28,-8.429
98681,0.02,-5.461,-0.116,37,-7.113
160727,5.27,12.506,0.159,36,6.401
57887,149.22,-1.311,-1.885,45,-9.291
141949,81.37,-5.096,-0.156,45,-6.623
89351,33.11,-0.923,0.157,35,8.772
7294,129.42,-1.186,-1.573,44,-10.994
186480,342.38,1.231,-0.032,32,-8.429
23049,34.21,-0.638,0.157,35,8.373
190848,59.9,-9.097,-0.157,44,-5.333
29568,110.72,0.524,1.097,44,10.629
54899,2.82,9.85,0.159,30,7.239
163532,33.52,-2.588,0.156,45,6.899
110815,28.52,-1.984,0.156,44,7.313
121601,304.04,-1.231,0.015,32,8.918
154747,46,-12.152,-0.158,36,-6.602
66204,32,-2.166,0.156,44,7.911
84718,68.63,-0.205,-0.157,30,-8.706
191580,75.02,1.049,-0.158,44,-8.195
159465,77.39,-0.809,-0.159,45,-7.885
57485,19.73,8.618,0.156,45,6.341
101610,119.37,-5.096,-0.329,43,-7.082
21741,23.73,3.523,0.156,38,7.502
11357,109.4,6.452,1.1,44,8.85
69866,88.71,7.079,0.627,45,8.056
195121,99.39,-10.545,-0.512,38,-8.289
55363,40.68,6.452,0.157,36,7.256
26113,116.28,-9.975,-1.098,44,-8.461
96222,228.04,0.365,-0.049,32,-9.145
12806,33.31,-2.417,0.157,44,7.171
116283,44.16,-9.268,-0.157,36,-6.382
145893,144.52,2.554,2.232,45,12.107
167467,2.44,10.408,0.158,27,8.39
51645,30.25,-0.422,0.158,30,9.621
155005,135.78,4.104,0.215,43,5.97
125398,59.67,-10.169,-0.157,36,-6.063
182723,60.13,-9.838,-0.157,36,-6.408
15274,45.58,-11.206,-0.158,45,-6.218
3312,1.26,9.736,0.14,27,9.117
67435,71.97,2.28,-0.158,43,-7.842
186875,23.76,5.084,0.157,30,9.096
44921,45.65,-11.981,-0.156,36,-6.922
157110,79.82,-3.887,-0.158,37,-7.762
32527,99.44,-11.012,-0.642,38,-8.384
191317,1.66,8.493,0.158,32,7.714
34316,22.42,7.991,0.158,27,9.947
115727,4.44,11.503,0.158,44,6.511
9180,123,9.2,1.571,44,11.071
183520,116.58,-9.017,-1.099,44,-10.782
2347,39.52,4.298,0.157,34,6.918
175549,123.54,2.44,1.572,43,11.118
113544,18.89,9.451,0.156,45,5.894
181970,27.48,-0.57,0.158,46,7.914
85682,33.54,-2.953,0.155,44,6.523
79024,70.86,1.801,-0.157,35,-8.088
150270,82.19,-7.866,-0.158,35,-8.054
58692,118.65,-4.526,-1.1,45,-10.922
