epoch,loss_tot,lr
0,0.570701,0.010000
 1,0.465653,0.010000
 2,0.389465,0.010000
 3,0.262564,0.010000
 4,0.156209,0.010000
 5,0.080573,0.010000
 6,0.065720,0.010000
 7,0.050848,0.010000
 8,0.051763,0.010000
 9,0.043164,0.010000
 10,0.047473,0.010000
 11,0.045934,0.010000
 12,0.037728,0.010000
 13,0.036066,0.010000
 14,0.041508,0.010000
 15,0.037902,0.010000
 16,0.037507,0.010000
 17,0.037523,0.010000
 18,0.029709,0.010000
 19,0.037178,0.010000
 20,0.033130,0.010000
 21,0.029332,0.010000
 22,0.025784,0.010000
 23,0.027669,0.010000
 24,0.030227,0.010000
 25,0.025134,0.010000
 26,0.027544,0.010000
 27,0.033831,0.010000
 28,0.025162,0.010000
 29,0.025178,0.010000
 30,0.024999,0.010000
 31,0.024573,0.010000
 32,0.025206,0.010000
 33,0.021813,0.010000
 34,0.022367,0.005000
 35,0.024361,0.005000
 36,0.021021,0.005000
 37,0.024839,0.005000
 38,0.018962,0.005000
 39,0.018465,0.005000
 
